accession,virus,viral_family,host
NC_038336,Torque teno virus 5,Anelloviridae,Homo sapiens
NC_038337,Torque teno virus 9,Anelloviridae,Homo sapiens
NC_038338,Torque teno virus 11,Anelloviridae,Homo sapiens
NC_038339,Torque teno virus 13,Anelloviridae,Homo sapiens
NC_038340,Torque teno virus 20,Anelloviridae,Homo sapiens
NC_038341,Torque teno virus 21,Anelloviridae,Homo sapiens
NC_038342,Torque teno virus 23,Anelloviridae,Pan troglodytes
NC_038343,Torque teno virus 24,Anelloviridae,Homo sapiens
NC_038344,Torque teno virus 29,Anelloviridae,Homo sapiens
NC_038345,Torque teno mini virus 10,Anelloviridae,Boreoeutheria
NC_076233,Torque teno mini virus 10,Anelloviridae,Homo sapiens
NC_076234,Torque teno mini virus 10,Anelloviridae,Homo sapiens
NC_038346,Torque teno mini virus 11,Anelloviridae,Boreoeutheria
NC_038347,Torque teno mini virus 12,Anelloviridae,Boreoeutheria
NC_038348,Torque teno tupaia virus,Anelloviridae,Tupaia chinensis
NC_038349,Torque teno felis virus 2,Anelloviridae,Felis catus
NC_033620,Murine roseolovirus,Orthoherpesviridae,Mus musculus
NC_033693,Bouboui virus,Flaviviridae,Boreoeutheria
NC_033695,Enterovirus AN12,Picornaviridae,Bos taurus
NC_033697,Saboya virus,Flaviviridae,Myomorpha
NC_033698,Uganda S virus,Flaviviridae,Amniota
NC_033699,Jugra virus,Flaviviridae,Cynopterus brachyotis
NC_033721,Meaban virus,Flaviviridae,Amniota
NC_033723,Gadgets Gully virus,Flaviviridae,Amniota
NC_033724,Kadam virus,Flaviviridae,Mammalia
NC_033726,Saumarez Reef virus,Flaviviridae,Amniota
NC_033737,Pomona leaf-nosed bat associated polyomavirus,Polyomaviridae,Hipposideros pomona
NC_033740,Eidolon helvum papillomavirus 2,Papillomaviridae,Eidolon helvum
NC_033745,Eidolon helvum papillomavirus 3,Papillomaviridae,Eidolon helvum
NC_033776,Bat sapovirus,Caliciviridae,Eidolon helvum
NC_033781,Human papillomavirus 156,Papillomaviridae,Homo sapiens
NC_033792,Qinghai Himalayan marmot astrovirus 1,Astroviridae,Marmota himalayana
NC_033793,megrivirus B3CP-APO,Picornaviridae,Anser sp.
NC_033818,Kunsagivirus B,Picornaviridae,Eidolon helvum
NC_033819,Crohivirus B,Picornaviridae,Eidolon helvum
NC_033820,Bat sapelovirus,Picornaviridae,Eidolon helvum
NC_033821,Qinghai Himalayan marmot astrovirus 2,Astroviridae,Marmota himalayana
NC_033823,Bat iflavirus,Iflaviridae,Eidolon helvum
NC_055510,Dianlovirus menglaense,Filoviridae,Rousettus sp.
NC_055523,Human lung-associated vientovirus FB,Redondoviridae,Homo sapiens
NC_055526,Ovine adenovirus 8,Adenoviridae,Ovis aries
NC_055527,Syngnathus scovelli chapparvovirus,Parvoviridae,Syngnathus scovelli
NC_055530,Garba virus,Rhabdoviridae,Corythornis cristatus
NC_055554,Vombatid gammaherpesvirus 1,Orthoherpesviridae,Vombatus ursinus
NC_055555,Phascolarctid gammaherpesvirus 1,Orthoherpesviridae,Phascolarctos cinereus
NC_055556,Alphapolyomavirus aflavicollis,Polyomaviridae,Apodemus flavicollis
NC_055557,Capra aegagrus polyomavirus 1,Polyomaviridae,Capra aegagrus
NC_055558,Mastomys natalensis polyomavirus 2,Polyomaviridae,Mastomys natalensis
NC_055559,Deltapolyomavirus canis,Polyomaviridae,Canis lupus
AM745084,Epizootic hemorrhagic disease virus (serotype 2 / strain Ibaraki),Sedoreoviridae,Boreoeutheria
AM886412,Murine cytomegalovirus (strain K181),Orthoherpesviridae,Mus musculus
AM910652,Hepatitis C virus subtype 1g,Flaviviridae,Homo sapiens
AP012285,Human adenovirus 65,Adenoviridae,Homo sapiens
AP012302,Human adenovirus 67,Adenoviridae,Homo sapiens
AY009089,Camelpox virus CMS,Poxviridae,Camelus
AY134748,Snow Mountain virus,Caliciviridae,Homo sapiens
AY150217,Ambystoma tigrinum stebbensi virus,Iridoviridae,Euteleostomi
AY260943,Influenza B virus (B/Memphis/12/97),Orthomyxoviridae,Homo sapiens
AY260951,Influenza B virus (B/Memphis/12/97-MA),Orthomyxoviridae,Boreoeutheria
AY302539,Echovirus E13,Picornaviridae,Homo sapiens
AY302540,Echovirus E14,Picornaviridae,Homo sapiens
AY302541,Echovirus E15,Picornaviridae,Homo sapiens
AY302542,Echovirus E16,Picornaviridae,Homo sapiens
AY302543,Echovirus E17,Picornaviridae,Homo sapiens
AY302544,Echovirus E19,Picornaviridae,Homo sapiens
AY302545,Echovirus E2,Picornaviridae,Homo sapiens
AY302546,Echovirus E20,Picornaviridae,Homo sapiens
AY302547,Echovirus E21,Picornaviridae,Homo sapiens
AY302548,Echovirus E24,Picornaviridae,Homo sapiens
AY302549,Echovirus E25,Picornaviridae,Homo sapiens
AY302550,Echovirus E26,Picornaviridae,Homo sapiens
AY302551,Echovirus E27,Picornaviridae,Homo sapiens
AY302552,Echovirus E29,Picornaviridae,Homo sapiens
AY302553,Echovirus E3,Picornaviridae,Homo sapiens
AY302554,Echovirus E31,Picornaviridae,Homo sapiens
AY302555,Echovirus E32,Picornaviridae,Homo sapiens
AY302556,Echovirus E33,Picornaviridae,Homo sapiens
AY302557,Echovirus E4,Picornaviridae,Homo sapiens
AY302559,Echovirus E7,Picornaviridae,Homo sapiens
AY302560,Enterovirus B69,Picornaviridae,Catarrhini
AY353550,Human Respiratory syncytial virus 9320,Pneumoviridae,Homo sapiens
AY395706,human papillomavirus 62,Papillomaviridae,Homo sapiens
AY429470,Swine vesicular disease virus,Picornaviridae,Sus scrofa
AY458656,Human adenovirus E4,Adenoviridae,Homo sapiens
AY462107,Possum enterovirus W6,Picornaviridae,Trichosurus vulpecula
AY484669,Rabbitpox virus,Poxviridae,Boreoeutheria
AY508697,Bovine enterovirus type 2,Picornaviridae,Bos taurus
AY518894,Human group 1 coronavirus associated with pneumonia,Coronaviridae,Homo sapiens
AY528864,macacine gammaherpesvirus 11,Orthoherpesviridae,Macaca fuscata
AY532606,Rock bream iridovirus,Iridoviridae,Eupercaria
AY554397,Classical swine fever virus 96TD,Flaviviridae,Suidae
AY556057,Enterovirus B74,Picornaviridae,Catarrhini
AY556070,Enterovirus B75,Picornaviridae,Catarrhini
AY588319,PRRSV LV4.2.1,Arteriviridae,Chlorocebus aethiops
AY593765,Foot-and-mouth disease virus A,Picornaviridae,Bos taurus
AY593796,Foot-and-mouth disease virus Asia 1,Picornaviridae,Boreoeutheria
AY593809,Foot-and-mouth disease virus C5,Picornaviridae,Rodentia
AY593840,Foot-and-mouth disease virus SAT 1,Picornaviridae,Sus scrofa
AY593847,Foot-and-mouth disease virus SAT 2,Picornaviridae,Sus scrofa
AY593851,Foot-and-mouth disease virus SAT 3,Picornaviridae,Ovis aries
AY646283,Avian infectious bronchitis virus partridge/GD/S14/2003,Coronaviridae,Gallus gallus
AY666015,Grouper iridovirus,Iridoviridae,Epinephelus awoara
AY686687,Foot-and-mouth disease virus O/ES/2001,Picornaviridae,Boreoeutheria
AY689437,Deerpox virus W-1170-84,Poxviridae,Boreoeutheria
AY737798,Human adenovirus 50,Adenoviridae,Homo sapiens
AF389451,Tiger frog virus,Iridoviridae,Hoplobatrachus tigerinus
AF407339,Classical swine fever virus 39,Flaviviridae,Suidae
AF411814,Amphotropic murine leukemia virus,Retroviridae,Amniota
AF457102,Human parainfluenza virus 1 strain Washington/1964,Paramyxoviridae,Homo sapiens
AF524867,Echovirus E9,Picornaviridae,Homo sapiens
AJ005695,Human parechovirus 2,Picornaviridae,Catarrhini
AJ132961,Poliovirus 1,Picornaviridae,Homo sapiens
AJ132997,Hepacivirus hominis,Flaviviridae,Homo sapiens
AJ251937,Stork hepatitis B virus,Hepadnaviridae,Ciconia ciconia
AJ400628,human papillomavirus 87,Papillomaviridae,Homo sapiens
AJ577589,Echovirus E11,Picornaviridae,Catarrhini
AJ620205,human papillomavirus 43,Papillomaviridae,Homo sapiens
AJ620208,Bos taurus papillomavirus 6,Papillomaviridae,Bos taurus
AJ620209,human papillomavirus 81,Papillomaviridae,Homo sapiens
AJ620211,Human papillomavirus 94,Papillomaviridae,Homo sapiens
AJ880277,Pigeon paramyxovirus 1,Paramyxoviridae,Columbidae
AJ889918,Human parechovirus 3,Picornaviridae,Catarrhini
AM235750,Human parechovirus 4,Picornaviridae,Homo sapiens
DQ315670,Human parechovirus 4,Picornaviridae,Homo sapiens
AM282986,Hepatitis B virus subtype adw2,Hepadnaviridae,Homo sapiens
AM501482,Vaccinia virus Ankara,Poxviridae,Homo sapiens
AM711976,TT virus sle1957,Anelloviridae,Homo sapiens
AM712003,TT virus sle1931,Anelloviridae,Homo sapiens
AM744987,Epizootic hemorrhagic disease virus (serotype 2 / strain 439),Sedoreoviridae,Boreoeutheria
AM744988,Epizootic hemorrhagic disease virus (serotype 2 / strain 439),Sedoreoviridae,Boreoeutheria
AM744990,Epizootic hemorrhagic disease virus (serotype 2 / strain 439),Sedoreoviridae,Boreoeutheria
AM744991,Epizootic hemorrhagic disease virus (serotype 2 / strain 439),Sedoreoviridae,Boreoeutheria
AM744992,Epizootic hemorrhagic disease virus (serotype 2 / strain 439),Sedoreoviridae,Boreoeutheria
AM744993,Epizootic hemorrhagic disease virus (serotype 2 / strain 439),Sedoreoviridae,Boreoeutheria
AM744994,Epizootic hemorrhagic disease virus (serotype 2 / strain 439),Sedoreoviridae,Boreoeutheria
AM744996,Epizootic hemorrhagic disease virus (serotype 2 / strain 439),Sedoreoviridae,Boreoeutheria
NC_079131,Hardyhead chuvirus,Chuviridae,Craterocephalus stercusmuscarum fulvus
NC_079132,Hardyhead chuvirus,Chuviridae,Craterocephalus stercusmuscarum fulvus
NC_079133,Hardyhead chuvirus,Chuviridae,Craterocephalus stercusmuscarum fulvus
OL617014,Flyfo microvirus Tbat1_59,Microviridae,Pteropus tonganus
OL617015,Flyfo microvirus Tbat1_66,Microviridae,Pteropus tonganus
OL617016,Flyfo microvirus Tbat2_43,Microviridae,Pteropus tonganus
OL617017,Flyfo microvirus Tbat2_83,Microviridae,Pteropus tonganus
OL617018,Flyfo microvirus Tbat2_88,Microviridae,Pteropus tonganus
OL617019,Flyfo microvirus Tbat2_91,Microviridae,Pteropus tonganus
OL617020,Flyfo microvirus Tbat2_93,Microviridae,Pteropus tonganus
OL617021,Flyfo microvirus Tbat2_95,Microviridae,Pteropus tonganus
OL617022,Flyfo microvirus Tbat2_98,Microviridae,Pteropus tonganus
OL617023,Flyfo microvirus Tbat2_103,Microviridae,Pteropus tonganus
OL617024,Flyfo microvirus Tbat2_105,Microviridae,Pteropus tonganus
OL617025,Flyfo microvirus Tbat2_108,Microviridae,Pteropus tonganus
OL617026,Flyfo microvirus Tbat2_110,Microviridae,Pteropus tonganus
OL617027,Flyfo microvirus Tbat2_112,Microviridae,Pteropus tonganus
OL617028,Flyfo microvirus Tbat2_116,Microviridae,Pteropus tonganus
OL617029,Flyfo microvirus Tbat2_130,Microviridae,Pteropus tonganus
OL617030,Flyfo microvirus Tbat2_144,Microviridae,Pteropus tonganus
OL617031,Flyfo microvirus Tbat2_151,Microviridae,Pteropus tonganus
OL617032,Flyfo microvirus Tbat2_153,Microviridae,Pteropus tonganus
OM869579,Sigmofec virus UA08Rod_3978,Microviridae,Sigmodon arizonae
OM869580,Sigmofec virus UA08Rod_3874,Microviridae,Sigmodon arizonae
OM869583,Dipodfec virus UA06Rod_108,Microviridae,Dipodomys ordii
OM869585,Dipodfec virus UA06Rod_22,Microviridae,Dipodomys ordii
OM869586,Dipodfec virus UA06Rod_21,Microviridae,Dipodomys ordii
OM869587,Dipodfec virus UA06Rod_20,Microviridae,Dipodomys ordii
OM869588,Dipodfec virus UA06Rod_19,Microviridae,Dipodomys ordii
OM869589,Dipodfec virus UA06Rod_17,Microviridae,Dipodomys ordii
OM869590,Dipodfec virus UA06Rod_16,Microviridae,Dipodomys ordii
OM869591,Dipodfec virus UA06Rod_12,Microviridae,Dipodomys ordii
OM869592,Dipodfec virus UA06Rod_5,Microviridae,Dipodomys ordii
OM869593,Dipodfec virus UA06Rod_4,Microviridae,Dipodomys ordii
OM869594,Dipodfec virus UA06Rod_3,Microviridae,Dipodomys ordii
OM869603,Dipodfec virus UA23Rod_1392,Microviridae,Dipodomys spectabilis
OM869604,Dipodfec virus UA23Rod_1363,Microviridae,Dipodomys spectabilis
OM869605,Dipodfec virus UA23Rod_1340,Microviridae,Dipodomys spectabilis
OM869606,Dipodfec virus UA23Rod_1217,Microviridae,Dipodomys spectabilis
OM869607,Dipodfec virus UA23Rod_1125,Microviridae,Dipodomys spectabilis
OM869608,Dipodfec virus UA23Rod_1114,Microviridae,Dipodomys spectabilis
OM869609,Dipodfec virus UA23Rod_1071,Microviridae,Dipodomys spectabilis
OM869610,Dipodfec virus UA23Rod_963,Microviridae,Dipodomys spectabilis
OM869611,Dipodfec virus UA23Rod_920,Microviridae,Dipodomys spectabilis
OM869612,Dipodfec virus UA23Rod_872,Microviridae,Dipodomys spectabilis
OM869623,Peromfec virus RodF8_66,Microviridae,Peromyscus boylii
OM869624,Peromfec virus RodF8_61,Microviridae,Peromyscus boylii
OM869625,Peromfec virus RodF8_60,Microviridae,Peromyscus boylii
OM869626,Peromfec virus RodF8_58,Microviridae,Peromyscus boylii
OM869627,Peromfec virus RodF8_56,Microviridae,Peromyscus boylii
OM869628,Peromfec virus RodF8_54,Microviridae,Peromyscus boylii
OM869629,Peromfec virus RodF8_53,Microviridae,Peromyscus boylii
OM869630,Peromfec virus RodF8_52,Microviridae,Peromyscus boylii
OM869631,Peromfec virus RodF8_50,Microviridae,Peromyscus boylii
OM869632,Peromfec virus RodF8_48,Microviridae,Peromyscus boylii
OM869633,Peromfec virus RodF8_47,Microviridae,Peromyscus boylii
OM869634,Peromfec virus RodF8_46,Microviridae,Peromyscus boylii
OM869635,Peromfec virus RodF8_43,Microviridae,Peromyscus boylii
OM869636,Peromfec virus RodF8_42,Microviridae,Peromyscus boylii
OM869637,Peromfec virus RodF8_40,Microviridae,Peromyscus boylii
OM869638,Peromfec virus RodF8_38,Microviridae,Peromyscus boylii
OM869639,Peromfec virus RodF8_37,Microviridae,Peromyscus boylii
OM869640,Peromfec virus RodF8_36,Microviridae,Peromyscus boylii
OM869641,Peromfec virus RodF8_33,Microviridae,Peromyscus boylii
OM869642,Peromfec virus RodF8_32,Microviridae,Peromyscus boylii
OM869643,Peromfec virus RodF8_30,Microviridae,Peromyscus boylii
OM869644,Peromfec virus RodF8_29,Microviridae,Peromyscus boylii
OM869645,Peromfec virus RodF8_28,Microviridae,Peromyscus boylii
OM869646,Peromfec virus RodF8_26,Microviridae,Peromyscus boylii
OM869647,Peromfec virus RodF8_22,Microviridae,Peromyscus boylii
OM869648,Peromfec virus RodF8_21,Microviridae,Peromyscus boylii
OM869649,Peromfec virus RodF8_20,Microviridae,Peromyscus boylii
OM869650,Peromfec virus RodF8_19,Microviridae,Peromyscus boylii
OM869651,Peromfec virus RodF8_16,Microviridae,Peromyscus boylii
OM869652,Peromfec virus RodF8_14,Microviridae,Peromyscus boylii
OM869653,Peromfec virus RodF8_12,Microviridae,Peromyscus boylii
OM869654,Peromfec virus RodF8_10,Microviridae,Peromyscus boylii
OM869655,Peromfec virus RodF8_9,Microviridae,Peromyscus boylii
OM869656,Peromfec virus RodF8_8,Microviridae,Peromyscus boylii
OM869659,Peromfec virus RodF7_17,Microviridae,Peromyscus boylii
OM869660,Peromfec virus RodF7_16,Microviridae,Peromyscus boylii
OM869661,Peromfec virus RodF7_15,Microviridae,Peromyscus boylii
OM869662,Peromfec virus RodF7_14,Microviridae,Peromyscus boylii
OM869663,Peromfec virus RodF7_13,Microviridae,Peromyscus boylii
OM869664,Peromfec virus RodF7_12,Microviridae,Peromyscus boylii
OM869665,Peromfec virus RodF7_10,Microviridae,Peromyscus boylii
OM869666,Peromfec virus RodF7_9,Microviridae,Peromyscus boylii
OM869667,Peromfec virus RodF7_7,Microviridae,Peromyscus boylii
OM869668,Peromfec virus RodF7_5,Microviridae,Peromyscus boylii
OM869669,Peromfec virus RodF7_4,Microviridae,Peromyscus boylii
OM869672,Peromfec virus RodF5_41,Microviridae,Peromyscus truei
OM869677,Peromfec virus RodF5_17,Microviridae,Peromyscus truei
OM869678,Peromfec virus RodF5_15,Microviridae,Peromyscus truei
OM869679,Peromfec virus RodF5_12,Microviridae,Peromyscus truei
OM869680,Peromfec virus RodF5_9,Microviridae,Peromyscus truei
OM869681,Peromfec virus RodF5_8,Microviridae,Peromyscus truei
OM869682,Peromfec virus RodF5_7,Microviridae,Peromyscus truei
OM869683,Peromfec virus RodF5_6,Microviridae,Peromyscus truei
OM869684,Peromfec virus RodF5_5,Microviridae,Peromyscus truei
OM869685,Peromfec virus RodF5_3,Microviridae,Peromyscus truei
PP511378,Dulem virus 75,Inoviridae,Lemuridae
PP511379,Dulem virus 40,,Eulemur fulvus collaris
PP511380,Dulem virus 29,,Lemuridae
PP511381,Dulem virus 51,Inoviridae,Eulemur fulvus collaris
PP511382,Dulem virus 265,Microviridae,Eulemur fulvus collaris
PP511386,Dulem virus 260,Microviridae,Lemuriformes
PP511387,Dulem virus 256,Microviridae,Lemuridae
PP511388,Dulem virus 253,Microviridae,Lemuriformes
PP511391,Dulem virus 243,Microviridae,Lemuriformes
PP511392,Dulem virus 242,Microviridae,Eulemur fulvus collaris
PP511393,Dulem virus 235,Microviridae,Lemuridae
PP511394,Dulem virus 66,Inoviridae,Eulemur fulvus collaris
PP511398,Dulem virus 222,Microviridae,Lemuridae
PP511399,Dulem virus 220,Microviridae,Lemuridae
PP511401,Dulem virus 215,Microviridae,Lemuridae
PP511403,Dulem virus 213,Microviridae,Lemuridae
PP511404,Dulem virus 210,Microviridae,Lemuridae
PP511405,Dulem virus 211,Microviridae,Lemuriformes
PP511406,Dulem virus 202,Microviridae,Lemuriformes
PP511407,Dulem virus 201,Microviridae,Lemuridae
PP511409,Dulem virus 195,Microviridae,Lemuridae
PP511412,Dulem virus 184,Microviridae,Lemuridae
PP511413,Dulem virus 181,Microviridae,Lemuridae
PP511414,Dulem virus 178,Microviridae,Lemuriformes
PP511416,Dulem virus 164,Microviridae,Lemuriformes
PP511417,Dulem virus 162,Microviridae,Eulemur fulvus collaris
PP511418,Dulem virus 156,Microviridae,Lemuriformes
PP511419,Dulem virus 155,Microviridae,Lemuridae
PP511420,Dulem virus 149,Microviridae,Lemuriformes
PP511424,Dulem virus 135,Microviridae,Lemuridae
PP511425,Dulem virus 134,Microviridae,Lemuriformes
PP511426,Dulem virus 133,Microviridae,Lemuridae
PP511427,Dulem virus 131,Microviridae,Lemuridae
PP511428,Dulem virus 127,Microviridae,Eulemur fulvus collaris
PP511429,Dulem virus 124,Microviridae,Lemuridae
PP511430,Dulem virus 122,Microviridae,Eulemur fulvus collaris
PP511431,Dulem virus 121,Microviridae,Lemuriformes
PP511432,Dulem virus 120,Microviridae,Lemuriformes
PP511435,Dulem virus 108,Microviridae,Eulemur fulvus collaris
PP511437,Dulem virus 96,Microviridae,Lemuridae
PP511438,Dulem virus 95,Microviridae,Lemuridae
PP511440,Dulem virus 92,Microviridae,Lemuriformes
PP511441,Dulem virus 86,Microviridae,Lemuriformes
PP511442,Dulem virus 78,Microviridae,Lemuriformes
PP511443,Dulem virus 37,,Propithecus coquereli
NC_076224,Torque teno Arctocephalus gazella virus 1,Anelloviridae,Arctocephalus gazella
NC_076225,Torque teno Arctocephalus gazella virus 2,Anelloviridae,Arctocephalus gazella
NC_076235,Human associated porprismacovirus 3,Smacoviridae,Homo sapiens
NC_076236,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076237,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076238,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076252,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076253,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076254,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076255,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076256,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076257,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076258,Porcine associated porprismacovirus,Smacoviridae,Sus scrofa domesticus
NC_076242,Pingu picornavirus,,Pygoscelis papua
NC_076245,Zebrafish picornavirus 1,Picornaviridae,Danio rerio
NC_076251,Human associated porprismacovirus,Smacoviridae,Homo sapiens
NC_076259,Goat associated porprismacovirus,Smacoviridae,Capra hircus
NC_076261,Hayes Yard virus,Rhabdoviridae,Bos indicus
NC_076264,Gyrovirus 11,Anelloviridae,Myrmeciza
NC_076293,Vicugna pacos bocaparvovirus,Parvoviridae,Vicugna pacos
NC_076336,Bat gemycircularvirus,Genomoviridae,Hipposideros larvatus
NC_076337,Torque teno ocelot virus,Anelloviridae,Leopardus pardalis
NC_076339,TTV-like mini virus,Anelloviridae,Homo sapiens
NC_076131,TTV-like mini virus,Anelloviridae,Homo sapiens
NC_076135,TTV-like mini virus,Anelloviridae,Homo sapiens
NC_076155,TTV-like mini virus,Anelloviridae,Homo sapiens
NC_076156,TTV-like mini virus,Anelloviridae,Homo sapiens
NC_076166,TTV-like mini virus,Anelloviridae,Homo sapiens
NC_020498,TTV-like mini virus,Anelloviridae,Homo sapiens
NC_076340,psittacine adenovirus 7,Adenoviridae,Cacatua sanguinea
NC_076341,Finch associated genomovirus 5,Genomoviridae,Haemorhous mexicanus
NC_076342,Finch associated genomovirus 2,Genomoviridae,Haemorhous mexicanus
NC_076343,Finch associated genomovirus 4,Genomoviridae,Haemorhous mexicanus
NC_076344,Finch associated genomovirus 6,Genomoviridae,Haemorhous mexicanus
NC_076345,Finch associated genomovirus 8,Genomoviridae,Haemorhous mexicanus
NC_076346,Finch associated genomovirus 1,Genomoviridae,Haemorhous mexicanus
NC_076347,Finch associated genomovirus 3,Genomoviridae,Haemorhous mexicanus
NC_076358,Capybara genomovirus 1,Genomoviridae,Hydrochoerus hydrochaeris
NC_076359,Capybara genomovirus 2,Genomoviridae,Hydrochoerus hydrochaeris
NC_076360,Capybara genomovirus 3,Genomoviridae,Hydrochoerus hydrochaeris
NC_076361,Capybara genomovirus 4,Genomoviridae,Hydrochoerus hydrochaeris
NC_076362,Capybara genomovirus 5,Genomoviridae,Hydrochoerus hydrochaeris
NC_076363,Capybara genomovirus 6,Genomoviridae,Hydrochoerus hydrochaeris
NC_076364,Capybara genomovirus 8,Genomoviridae,Hydrochoerus hydrochaeris
NC_076365,Capybara genomovirus 10,Genomoviridae,Hydrochoerus hydrochaeris
NC_076366,Capybara genomovirus 12,Genomoviridae,Hydrochoerus hydrochaeris
NC_076368,Tasmanian devil-associated chapparvovirus 1,Parvoviridae,Sarcophilus harrisii
NC_076369,Tasmanian devil-associated chapparvovirus 2,Parvoviridae,Sarcophilus harrisii
NC_076370,Tasmanian devil-associated chapparvovirus 6,Parvoviridae,Sarcophilus harrisii
NC_076374,Capybara associated smacovirus 1_cap1_104,Smacoviridae,Hydrochoerus hydrochaeris
NC_076375,Tortoise genomovirus 9,Genomoviridae,Gopherus agassizii
NC_076376,Tortoise genomovirus 10,Genomoviridae,Gopherus agassizii
NC_076377,Tortoise genomovirus 13,Genomoviridae,Gopherus agassizii
NC_076378,Tortoise genomovirus 17,Genomoviridae,Gopherus agassizii
NC_076395,Rodent deltavirus,Kolmioviridae,Proechimys semispinosus
NC_076397,Avian metaavulavirus 21,Paramyxoviridae,Aves
NC_076398,Psittacine adenovirus 5,Adenoviridae,Forpus coelestis
NC_076399,Northern red-backed vole stool-associated gemycircularvirus 110,Genomoviridae,Clethrionomys rutilus
NC_007014,Small anellovirus 2,Anelloviridae,Homo sapiens
NC_007015,Ovine enzootic nasal tumor virus,Retroviridae,Ovis aries
NC_007020,Tupaia virus,Rhabdoviridae,Tupaia
NC_007026,Human picobirnavirus,Picobirnaviridae,Homo sapiens
NC_007027,Human picobirnavirus,Picobirnaviridae,Homo sapiens
NC_007150,Procyon lotor papillomavirus 1,Papillomaviridae,Procyon lotor
JN635402,Measles virus strain MVi/New York.USA/26.09/3,Paramyxoviridae,Homo sapiens
JN638998,Sudan ebolavirus - Nakisamata,Filoviridae,Homo sapiens
JN681175,Porcine bocavirus 3C,Parvoviridae,Sus scrofa
JN704144,Bovine viral diarrhea virus 1b,Flaviviridae,Bos taurus
JN704610,Meles meles fecal virus,Genomoviridae,Meles meles
JN709469,Tursiops truncatus papillomavirus 4,Papillomaviridae,Tursiops truncatus
JN709470,Tursiops truncatus papillomavirus 5,Papillomaviridae,Tursiops truncatus
JN709471,Tursiops truncatus papillomavirus 6,Papillomaviridae,Tursiops truncatus
JN709472,Tursiops truncatus papillomavirus 7,Papillomaviridae,Tursiops truncatus
JN710381,teschovirus A8,Picornaviridae,Sus scrofa
JN819202,cadicivirus A1,Picornaviridae,Canis lupus familiaris
JN860677,Human adenovirus 7d2,Adenoviridae,Homo sapiens
JN860678,Human adenovirus 68,Adenoviridae,Homo sapiens
JN860680,Human adenovirus 16,Adenoviridae,Homo sapiens
JN880448,Simian adenovirus A1139,Adenoviridae,Macaca mulatta
JN880449,Simian adenovirus A1163,Adenoviridae,Macaca mulatta
JN880450,Simian adenovirus A1173,Adenoviridae,Macaca mulatta
JN880451,Simian adenovirus A1258,Adenoviridae,Macaca mulatta
JN880454,Simian adenovirus A1312,Adenoviridae,Macaca mulatta
JN935766,Human adenovirus 63,Adenoviridae,Homo sapiens
JN998607,Ferret hepatitis E virus,Hepeviridae,Mustela putorius
JQ037753,Eidolon helvum (bat) parvovirus 1,Parvoviridae,Eidolon helvum
JQ231222,common midwife toad virus -E,Iridoviridae,Euteleostomi
JQ277724,Ovine enterovirus,Picornaviridae,Ovis aries
JQ303225,Rhinolophus ferrumequinum retrovirus,Retroviridae,Rhinolophus ferrumequinum
JQ326209,Human adenovirus 19,Adenoviridae,Homo sapiens
JQ410350,Ectromelia virus ERPV,Poxviridae,Homo sapiens
JQ613567,Norovirus Hu/GIV.1/LakeMacquarie/NSW268O/2010/AU,Caliciviridae,Homo sapiens
JQ622197,Norovirus Hu/GII-4/CBNU2/2007/KR,Caliciviridae,Homo sapiens
JQ654586,Rana grylio virus,Iridoviridae,Lithobates grylio
JQ776547,Simian adenovirus 6,Adenoviridae,Cercopithecinae
JQ799139,Salmonid alphavirus subtype 3,Togaviridae,Salmo salar
JQ814852,Ia io picornavirus 1,Picornaviridae,Ia io
JQ818253,Enterovirus G,Picornaviridae,Sus scrofa
JQ898342,Kobuvirus sewage Kathmandu,Picornaviridae,Homo sapiens
JQ911594,Norovirus Hu/GI/10360/2010/VNM,Caliciviridae,Homo sapiens
JQ920421,Duck egg-drop syndrome virus,Flaviviridae,Anas platyrhynchos
JQ975417,teschovirus A4,Picornaviridae,Sus scrofa
JQ989272,Hipposideros bat coronavirus HKU10,Coronaviridae,Chiroptera
JX018212,Nebovirus Bo/M3641/2011/HUN,Caliciviridae,Bos
JX047864,Reptile vesivirus Cro1,Caliciviridae,Crotalus lepidus
JX050181,Human parechovirus 5,Picornaviridae,Homo sapiens
JX174177,Coxsackievirus A1,Picornaviridae,Homo sapiens
JX174438,Bos grunniens papillomavirus 1,Papillomaviridae,Bos grunniens
JX227952,Hepatitis C virus subtype 2k/1b,Flaviviridae,Homo sapiens
JX227953,Hepatitis C virus subtype 2k,Flaviviridae,Homo sapiens
JX227954,Hepatitis C virus subtype 3g,Flaviviridae,Homo sapiens
JX227955,Hepatitis C virus subtype 3i,Flaviviridae,Homo sapiens
NC_008298,Rousettus aegyptiacus papillomavirus 1,Papillomaviridae,Rousettus aegyptiacus
